model_key,model,feature,effect_type,value,rank_value
decision_tree,Decision Tree Regressor,fga_per_game,feature_importance,0.9654924167640835,0.9654924167640835
decision_tree,Decision Tree Regressor,fg_percent,feature_importance,0.019060995152374634,0.019060995152374634
decision_tree,Decision Tree Regressor,fta_per_game,feature_importance,0.011946567284749646,0.011946567284749646
decision_tree,Decision Tree Regressor,x3pa_per_game,feature_importance,0.0026250506599487305,0.0026250506599487305
decision_tree,Decision Tree Regressor,x3p_percent,feature_importance,0.0005050061860096348,0.0005050061860096348
decision_tree,Decision Tree Regressor,ft_percent,feature_importance,0.00019258097147560336,0.00019258097147560336
decision_tree,Decision Tree Regressor,tov_per_game,feature_importance,0.00013457592546056463,0.00013457592546056463
decision_tree,Decision Tree Regressor,ast_per_game,feature_importance,2.362224190842181e-05,2.362224190842181e-05
decision_tree,Decision Tree Regressor,g,feature_importance,1.868259657713811e-05,1.868259657713811e-05
decision_tree,Decision Tree Regressor,age,feature_importance,5.022174121371037e-07,5.022174121371037e-07
decision_tree,Decision Tree Regressor,mp_per_game,feature_importance,0.0,0.0
decision_tree,Decision Tree Regressor,trb_per_game,feature_importance,0.0,0.0
decision_tree,Decision Tree Regressor,stl_per_game,feature_importance,0.0,0.0
decision_tree,Decision Tree Regressor,blk_per_game,feature_importance,0.0,0.0
linear_regression,Linear Regression,fga_per_game,standardized_coefficient,4.4955871102798035,4.4955871102798035
linear_regression,Linear Regression,fta_per_game,standardized_coefficient,1.5224016552102222,1.5224016552102222
linear_regression,Linear Regression,fg_percent,standardized_coefficient,0.6251215049412073,0.6251215049412073
linear_regression,Linear Regression,x3pa_per_game,standardized_coefficient,0.5735889642755396,0.5735889642755396
linear_regression,Linear Regression,mp_per_game,standardized_coefficient,-0.193407873629739,0.193407873629739
linear_regression,Linear Regression,ft_percent,standardized_coefficient,0.18953810241637192,0.18953810241637192
linear_regression,Linear Regression,tov_per_game,standardized_coefficient,0.13886482649745585,0.13886482649745585
linear_regression,Linear Regression,blk_per_game,standardized_coefficient,0.13211626151100328,0.13211626151100328
linear_regression,Linear Regression,age,standardized_coefficient,0.037370066057300096,0.037370066057300096
linear_regression,Linear Regression,ast_per_game,standardized_coefficient,-0.024878733888196895,0.024878733888196895
linear_regression,Linear Regression,stl_per_game,standardized_coefficient,0.023866993710084345,0.023866993710084345
linear_regression,Linear Regression,trb_per_game,standardized_coefficient,0.021528189729510136,0.021528189729510136
linear_regression,Linear Regression,g,standardized_coefficient,-0.012683184060765431,0.012683184060765431
linear_regression,Linear Regression,x3p_percent,standardized_coefficient,0.008908722279376433,0.008908722279376433
random_forest,Random Forest Regressor,fga_per_game,feature_importance,0.9563386602977272,0.9563386602977272
random_forest,Random Forest Regressor,fg_percent,feature_importance,0.020779011497022052,0.020779011497022052
random_forest,Random Forest Regressor,fta_per_game,feature_importance,0.015096638473129146,0.015096638473129146
random_forest,Random Forest Regressor,x3pa_per_game,feature_importance,0.003422858800773684,0.003422858800773684
random_forest,Random Forest Regressor,x3p_percent,feature_importance,0.0014033862084448503,0.0014033862084448503
random_forest,Random Forest Regressor,ft_percent,feature_importance,0.0011917272493212154,0.0011917272493212154
random_forest,Random Forest Regressor,tov_per_game,feature_importance,0.0003564367231917253,0.0003564367231917253
random_forest,Random Forest Regressor,ast_per_game,feature_importance,0.00026779397456316937,0.00026779397456316937
random_forest,Random Forest Regressor,mp_per_game,feature_importance,0.000248127559763778,0.000248127559763778
random_forest,Random Forest Regressor,g,feature_importance,0.00021139584428385335,0.00021139584428385335
random_forest,Random Forest Regressor,trb_per_game,feature_importance,0.00020748529203618458,0.00020748529203618458
random_forest,Random Forest Regressor,stl_per_game,feature_importance,0.000180329584330705,0.000180329584330705
random_forest,Random Forest Regressor,blk_per_game,feature_importance,0.00016209862241408572,0.00016209862241408572
random_forest,Random Forest Regressor,age,feature_importance,0.00013404987299830723,0.00013404987299830723
ridge_regression,Ridge Regression,fga_per_game,standardized_coefficient,4.494036158572504,4.494036158572504
ridge_regression,Ridge Regression,fta_per_game,standardized_coefficient,1.52276362717387,1.52276362717387
ridge_regression,Ridge Regression,fg_percent,standardized_coefficient,0.6250434828930355,0.6250434828930355
ridge_regression,Ridge Regression,x3pa_per_game,standardized_coefficient,0.5736551354917288,0.5736551354917288
ridge_regression,Ridge Regression,mp_per_game,standardized_coefficient,-0.19229202199043077,0.19229202199043077
ridge_regression,Ridge Regression,ft_percent,standardized_coefficient,0.1896059266670905,0.1896059266670905
ridge_regression,Ridge Regression,tov_per_game,standardized_coefficient,0.13901185519287784,0.13901185519287784
ridge_regression,Ridge Regression,blk_per_game,standardized_coefficient,0.13202074136583297,0.13202074136583297
ridge_regression,Ridge Regression,age,standardized_coefficient,0.03730563344751674,0.03730563344751674
ridge_regression,Ridge Regression,ast_per_game,standardized_coefficient,-0.024893921546365574,0.024893921546365574
ridge_regression,Ridge Regression,stl_per_game,standardized_coefficient,0.02380860843019748,0.02380860843019748
ridge_regression,Ridge Regression,trb_per_game,standardized_coefficient,0.02152397343060838,0.02152397343060838
ridge_regression,Ridge Regression,g,standardized_coefficient,-0.012737414726626265,0.012737414726626265
ridge_regression,Ridge Regression,x3p_percent,standardized_coefficient,0.00894755862490362,0.00894755862490362
